Cod,Ref,Ø INT,ØEXT. ,H,Grupo Tipo ,Marca,NCM,cest,tributação,unidade,Preco,Alfanumérico
5702,12500250250,1/4,1/2,1/4,5,APC,39269090,2083800,1,PC,"4,03",5702
1510,31201625500,1 5/8,2 1/4,1/2,5,APC,39269090,2083800,1,PC,"16,39",1510
AG8134,18700250250,1/4,5/8,1/4,5,APC,39269090,2083800,1,PC,"4,03",AG8134
3429,37501625625,1 5/8,2 3/8,5/8,5,APC,39269090,2083800,1,PC,"21,68",3429
6787,18700250312,1/4,5/8,5/16,5,APC,39269090,2083800,1,PC,"4,03",6787
AG7132,12501750185,1 3/4,2,3/16,5,APC,39269090,2083800,1,PC,"10,29",AG7132
5836,12500312250,5/16,9/16,1/4,5,APC,39269090,2083800,1,PC,"4,03",5836
AG7329,18701750250,1 3/4,2 1/8,1/4,5,APC,39269090,2083800,1,PC,"8,37",AG7329
6370,18700312312,5/16,11/16,5/16,5,APC,39269090,2083800,1,PC,"4,03",6370
3075,18701750312,1 3/4,2 1/8,5/16,5,APC,39269090,2083800,1,PC,"8,37",3075
5786,12500375250,3/8,5/8,1/4,5,APC,39269090,2083800,1,PC,"4,03",5786
1075,18701750375,1 3/4,2 1/8,3/8,5,APC,39269090,2083800,1,PC,"9,93",1075
5785,18700375312,3/8,3/4,5/16,5,APC,39269090,2083800,1,PC,"4,03",5785
5863,25001750250,1 3/4,2 1/4,1/4,5,APC,39269090,2083800,1,PC,"8,98",5863
6371,12500437250,7/16,11/16,1/4,5,APC,39269090,2083800,1,PC,"4,75",6371
1061,25001750375,1 3/4,2 1/4,3/8,5,APC,39269090,2083800,1,PC,"10,33",1061
5783,12500500250,1/2,3/4,1/4,5,APC,39269090,2083800,1,PC,"4,75",5783
1616,31201750500,1 3/4,2 3/8,1/2,5,APC,39269090,2083800,1,PC,"17,40",1616
5784,18700500312,1/2,7/8,5/16,5,APC,39269090,2083800,1,PC,"4,99",5784
3430,37501750625,1 3/4,2 1/2,5/8,5,APC,39269090,2083800,1,PC,"23,19",3430
6391,25000500375,1/2,1,3/8,5,APC,39269090,2083800,1,PC,"4,99",6391
AG7248,18701812375,1 13/16,2 3/16,3/8,5,APC,39269090,2083800,1,PC,"10,33",AG7248
6386,12500562250,9/16,13/16,1/4,5,APC,39269090,2083800,1,PC,"4,99",6386
3091,18701875375,1 7/8,2 1/4,3/8,5,APC,39269090,2083800,1,PC,"10,53",3091
6854,25000562375,9/16,1  1/16,3/8,5,APC,39269090,2083800,1,PC,"5,19",6854
5126,25001875375,1 7/8,2 3/8,3/8,5,APC,39269090,2083800,1,PC,"10,95",5126
5953,12500625250,5/8,7/8,1/4,5,APC,39269090,2083800,1,PC,"4,03",5953
1604,31201875500,1 7/8,2 1/2,1/2,5,APC,39269090,2083800,1,PC,"18,15",1604
9934,18700625250,5/8,1,1/4,5,APC,39269090,2083800,1,PC,"5,04",9934
3431,37501875625,1 7/8,2 5/8,5/8,5,APC,39269090,2083800,1,PC,"24,20",3431
5574,18700625312,5/8,1,5/16,5,APC,39269090,2083800,1,PC,"4,03",5574
1633,18702000375,2,2 3/8,3/8,5,APC,39269090,2083800,1,PC,"11,14",1633
5575,31200625500,5/8,1 1/4,1/2,5,APC,39269090,2083800,1,PC,"11,10",5575
1060,25002000375,2,2 1/2,3/8,5,APC,39269090,2083800,1,PC,"11,60",1060
5576,37500625625,5/8,1 3/8,5/8,5,APC,39269090,2083800,1,PC,"11,60",5576
1615,31202000500,2,2 5/8,1/2,5,APC,39269090,2083800,1,PC,"19,71",1615
AG7937,18700687312,11/16,1 1/16,5/16,5,APC,39269090,2083800,1,PC,"5,04",AG7937
1768,37502000625,2,2 3/4,5/8,5,APC,39269090,2083800,1,PC,"25,21",1768
6946,12500750185,3/4,1,3/16,5,APC,39269090,2083800,1,PC,"4,83",6946
5948,18702125375,2 1/8,2 1/2,3/8,5,APC,39269090,2083800,1,PC,"11,85",5948
5517,12500750250,3/4,1,1/4,5,APC,39269090,2083800,1,PC,"5,04",5517
1645,25002125375,2 1/8,2 5/8,3/8,5,APC,39269090,2083800,1,PC,"12,35",1645
5577,18700750312,3/4,1 1/8,5/16,5,APC,39269090,2083800,1,PC,"4,39",5577
1750,31202125375,2 1/8,2 3/4,3/8,5,APC,39269090,2083800,1,PC,"20,17",1750
5578,25000750375,3/4,1 1/4,3/8,5,APC,39269090,2083800,1,PC,"5,70",5578
4374,31202125500,2 1/8,2 3/4,1/2,5,APC,39269090,2083800,1,PC,"20,43",4374
5579,31200750500,3/4,1 3/8,1/2,5,APC,39269090,2083800,1,PC,"12,40",5579
3432,37502125625,2 1/8,2 7/8,5/8,5,APC,39269090,2083800,1,PC,"27,22",3432
6268,12500812250,13/16,1 1/16,1/4,5,APC,39269090,2083800,1,PC,"4,03",6268
1595,18702250375,2 1/4,2 5/8,3/8,5,APC,39269090,2083800,1,PC,"12,61",1595
5127,18700812312,13/16,1 3/16,5/16,5,APC,39269090,2083800,1,PC,"4,54",5127
6167,25002250250,2 1/4,2 3/4,1/4,5,APC,39269090,2083800,1,PC,"11,10",6167
AG8138,18700812187,13/16,1 13/16,3/16,5,APC,39269090,2083800,1,PC,"5,87",AG8138
1059,25002250375,2 1/4,2 3/4,3/8,5,APC,39269090,2083800,1,PC,"13,11",1059
6156,12500875250,7/8,1 1/8,1/4,5,APC,39269090,2083800,1,PC,"4,29",6156
1629,31202250500,2 1/4,2 7/8,1/2,5,APC,39269090,2083800,1,PC,"20,17",1629
AG7740,18700875250,7/8,1 1/4,1/4,5,APC,39269090,2083800,1,PC,"4,88",AG7740
AG7944,37502250375,2 1/4,3,3/8,5,APC,39269090,2083800,1,PC,"23,39",AG7944
1573,18700875312,7/8,1 1/4,5/16,5,APC,39269090,2083800,1,PC,"4,89",1573
