Código;Descrição;Preço
1064; RASPADOR TIPO D 52,00 X 65,00 X 4,00;9,400
1065; RASPADOR TIPO D 39,00 X 52,00 X 4,00;7,966
1066; RASPADOR TIPO D 26,00 X 38,00 X 4,00;6,199
1073; RASPADOR TIPO D 52,00 X 62,00 X 4,80;8,847
1074; RASPADOR TIPO D 51,00 X 58,00 X 2,50;7,744
1079; RASPADOR TIPO D 32,00 X 42,00 X 3,50;5,806
1080; RASPADOR TIPO D 39,00 X 48,00 X 4,50;5,919
1157; RASPADOR TIPO K 44,45 X 53,98 X 7,30;8,847
1164; RASPADOR TIPO D 70,00 X 80,00 X 3,20;12,723
12500125; GAXETA 1/8 X 3/8 X 1/8;3,868
12500250; GAXETA 1/4 X 1/2 X 1/8;3,868
12500250-250; GAXETA 1/4 X 1/2 X 1/4;4,426
12500312; GAXETA 5/16 X 9/16 X 1/8;3,868
12500312-250; GAXETA 5/16 X 9/16 X 1/4;4,426
12500375; GAXETA 3/8 X 5/8 X 1/8;3,868
12500375-250; GAXETA 3/8 X 5/8 X 1/4;4,426
12500437; GAXETA 7/16 X 11/16 X 1/8;3,868
12500437-250; GAXETA 7/16 X 11/16 X 1/4;5,209
12500500; GAXETA 1/2 X 3/4 X 1/8;3,868
12500500-250; GAXETA 1/2 X 3/4 X 1/4;5,209
12500562; GAXETA 9/16 X 13/16 X 1/8;4,426
12500562-250; GAXETA 9/16 X 13/16 X 1/4;5,474
12500625; GAXETA 5/8 X 7/8 X 1/8;4,426
12500625-250; GAXETA 5/8 X 7/8 X 1/4;4,426
12500687; GAXETA 11/16 X 15/16 X 1/8;4,861
12500750; GAXETA 3/4 X 1 X 1/8;6,085
12500750-185; GAXETA 3/4 X 1 X 3/16;5,303
12500750-250; GAXETA 3/4 X 1 X 1/4;5,525
12500812; GAXETA 13/16 X 1.1/16 X 1/8;6,443
12500812-250; GAXETA 13/16 X 1.1/16 X 1/4;4,426
12500875; GAXETA 7/8 X 1.1/8 X 1/8;4,861
12500875-250; GAXETA 7/8 X 1.1/8 X 1/4;4,703
12500937; GAXETA 15/16 X 1.3/16 X 1/8;4,861
12501000; GAXETA 1 X 1.1/4 X 1/8;4,976
12501000-187; GAXETA 1 X 1.1/4 X 3/16;4,976
12501000-250; GAXETA 1 X 1.1/4 X 1/4;5,263
12501062; GAXETA 1.1/16 X 1.5/16 X 1/8;6,085
12501062-250; GAXETA 1.1/16 X 1.5/16 X 1/4;5,867
12501125; GAXETA 1.1/8 X 1.3/8 X 1/8;6,363
12501125-157; GAXETA 1.1/8 X 1.3/8 X 5/32;5,806
12501125-187; GAXETA 1.1/8 X 1.3/8 X 3/16;5,525
12501125-204; GAXETA 1.1/8 X 1.3/8 X 13/64;5,806
12501125-250; GAXETA 1.1/8 X 1.3/8 X 1/4;5,806
12501187; GAXETA 1.3/16 X 1.7/16 X 1/8;6,641
12501250; GAXETA 1.1/4 X 1.1/2 X 1/8;6,641
12501250-250; GAXETA 1.1/4 X 1.1/2 X 1/4;6,641
12501250-312; GAXETA 1.1/4 X 1.1/2 X 5/16;7,598
12501312; GAXETA 1.5/16 X 1.9/16 X 1/8;6,641
12501375; GAXETA 1.3/8 X 1.5/8 X 1/8;6,901
12501375-250; GAXETA 1.3/8 X 1.5/8 X 1/4;7,081
12501437; GAXETA 1.7/16 X 1.11/16 X 1/8;6,610
12501500; GAXETA 1.1/2 X 1.3/4 X 1/8;6,917
12501500-250; GAXETA 1.1/2 X 1.3/4 X 1/4;7,630
12501750; GAXETA 1.3/4 X 2 X 1/8;7,541
12501750-185; GAXETA 1 3/4 X 2 X 3/16;11,286
1319; GAXETA AG 2 38,10 X 57,15 X 12,70 PU AMARELO;27,653
1320; GAXETA AG 2 47,00 X 72,00 X 15,50;60,838
1321; GAXETA AG 4 63,50 X 76,20 X 10,00;24,947
1323; GAXETA AG 4 38,00 X 48,00 X 7,00;10,507
1324; GAXETA AG 4 50,80 X 63,50 X 10,00;20,634
1325; GAXETA AG 4 57,15 X 69,85 X 10,00;22,788
1442; RASPADOR TIPO D 50,80 X 63,50 X 6,35;8,847
1519; GAXETA AG 9 127,00 X 133,35 X 4,76;27,653
1591; RASPADOR TIPO D 77,00 X 91,00 X 4,00;13,263
1592; RASPADOR TIPO D 64,00 X 78,00 X 4,00;12,723
1605; RASPADOR TIPO D 60,00 X 70,00 X 7,00;12,172
1620B; GAXETA AG 7 177,80 X 203,20 X 12,70;138,270
1628; GAXETA AG 6 185,00 X 207,00 X 15,00;88,488
1632; RASPADOR TIPO D 54,00 X 67,00 X 7,00;10,507
1641; RASPADOR TIPO D 90,00 X 102,00 X 6,30;15,484
1725; GAXETA AG 5 36,00 X 44,00 X 6,00;12,172
1821; GAXETA AG 7 40,00 X 48,00 X 10,00;11,066
1822; RASPADOR TIPO D 41,00 X 52,00 X 3,00;6,917
1833; GAXETA AG 2 40,00 X 50,00 X 11,00;15,484
1841; RASPADOR TIPO D 50,00 X 62,00 X 3,00;7,744
1844; CJTO. GAX. AG15 70 X 90,5 X 14,5/21,0 C/GUIA EM L;33,825
1848; RASPADOR TIPO D 73,00 X 86,00 X 4,00;13,833
1850; GAXETA AG 2 35,00 X 50,00 X 10,00;17,701
1854; CJTO. GAX. AG15 90 X110 X 11,7/18,0 C/GUIA EM L;44,343
1861; GAXETA AG 3 131,00 X 150,00 X 16,00;98,443
1862; GAXETA AG 3 144,00 X 162,00 X 16,00;110,617
1863; GAXETA AG 2 109,00 X 128,00 X 15,50;55,303
18700250; GAXETA 1/4 X 5/8 X 3/16;3,868
18700250-250; GAXETA 1/4 X 5/8 X 1/4;4,426
18700250-312; GAXETA 1/4 X 5/8 X 5/16;4,426
18700312-312; GAXETA 5/16 X 11/16 X 5/16;4,426
18700375; GAXETA 3/8 X 3/4 X 3/16;3,868
18700375-312; GAXETA 3/8 X 3/4 X 5/16;4,426
18700500; GAXETA 1/2 X 7/8 X 3/16;3,868
18700500-312; GAXETA 1/2 X 7/8 X 5/16;5,474
18700562; GAXETA 9/16 X 15/16 X 3/16;4,426
18700625; GAXETA 5/8 X 1 X 3/16;4,426
18700625-250; GAXETA 5/8 X 1 X 1/4;5,525
18700625-250BS; GAXETA AG 4 5/8 X 1 X 1/4;13,765
18700625-312; GAXETA 5/8 X 1 X 5/16;4,426
18700687; GAXETA 11/16 X 1.1/16 X 3/16;4,861
18700687-312; GAXETA 11/16 X 1.1/16 X 5/16;5,525
18700750; GAXETA 3/4 X 1.1/8 X 3/16;5,757
18700750-312; GAXETA 3/4 X 1.1/8 X 5/16;4,820
18700812; GAXETA 13/16 X 1.3/16 X 3/16;6,443
18700812-187; GAXETA 13/16 X 1.3/16 X 3/16;6,443
18700812-312; GAXETA 13/16 X 1.3/16 X 5/16;4,976
18700875; GAXETA 7/8 X 1.1/4 X 3/16;4,861
