Unnamed: 0,LISTA DE PREÇOS - REF: 01/23,Unnamed: 1,Unnamed: 2
Linha:,GAXETA E RASPADOR
Código,Descrição UN,Preço Unitário R$% IPI,
1064,"RASPADOR TIPO D  52,00 X 65,00 X 4,00 ","8,568 ",
1065,"RASPADOR TIPO D  39,00 X 52,00 X 4,00 ","7,261 ",
1066,"RASPADOR TIPO D  26,00 X 38,00 X 4,00 ","5,650 ",
1073,"RASPADOR TIPO D  52,00 X 62,00 X 4,80 ","8,064 ",
1074,"RASPADOR TIPO D  51,00 X 58,00 X 2,50 ","7,059 ",
1079,"RASPADOR TIPO D  32,00 X 42,00 X 3,50 ","5,292 ",
1080,"RASPADOR TIPO D  39,00 X 48,00 X 4,50 ","5,395 ",
1157,"RASPADOR TIPO K  44,45 X 53,98 X 7,30 ","8,064 ",
1164,"RASPADOR TIPO D  70,00 X 80,00 X 3,20 ","11,597 ",
12500125,GAXETA1/8 X 3/8 X 1/8 ,"3,526 ",
12500250,GAXETA1/4 X 1/2 X 1/8 ,"3,526 ",
12500250-250,GAXETA  1/4 X 1/2 X 1/4 ,"4,034 ",
12500312,GAXETA5/16 X 9/16 X 1/8 ,"3,526 ",
12500312-250,GAXETA  5/16 X 9/16 X 1/4 ,"4,034 ",
12500375,GAXETA3/8 X 5/8 X 1/8 ,"3,526 ",
12500375-250,GAXETA  3/8 X 5/8 X 1/4 ,"4,034 ",
12500437,GAXETA7/16 X 11/16 X 1/8 ,"3,526 ",
12500437-250,GAXETA  7/16 X 11/16 X 1/4 ,"4,748 ",
12500500,GAXETA1/2 X 3/4 X 1/8 ,"3,526 ",
12500500-250,GAXETA  1/2 X 3/4 X 1/4 ,"4,748 ",
12500562,GAXETA9/16 X 13/16 X 1/8 ,"4,034 ",
12500562-250,GAXETA  9/16 X 13/16 X 1/4 ,"4,989 ",
12500625,GAXETA5/8 X 7/8 X 1/8 ,"4,034 ",
12500625-250,GAXETA  5/8 X 7/8 X 1/4 ,"4,034 ",
12500687,GAXETA11/16 X 15/16 X 1/8 ,"4,431 ",
12500750,GAXETA  3/4 X 1 X 1/8 ,"5,547 ",
12500750-185,GAXETA  3/4 X 1 X 3/16 ,"4,834 ",
12500750-250,GAXETA  3/4 X 1 X 1/4 ,"5,036 ",
12500812,GAXETA  13/16 X 1.1/16 X 1/8 ,"5,872 ",
12500812-250,GAXETA  13/16 X 1.1/16 X 1/4 ,"4,034 ",
12500875,GAXETA  7/8 X 1.1/8 X 1/8 ,"4,431 ",
12500875-250,GAXETA  7/8 X 1.1/8 X 1/4 ,"4,287 ",
12500937,GAXETA15/16 X 1.3/16 X 1/8 ,"4,431 ",
12501000,GAXETA  1 X 1.1/4 X 1/8 ,"4,535 ",
12501000-187,GAXETA  1 X 1.1/4 X 3/16 ,"4,535 ",
12501000-250,GAXETA  1 X 1.1/4 X 1/4 ,"4,797 ",
12501062,GAXETA  1.1/16 X 1.5/16 X 1/8 ,"5,547 ",
12501062-250,GAXETA  1.1/16 X 1.5/16 X 1/4 ,"5,348 ",
12501125,GAXETA  1.1/8 X 1.3/8 X 1/8 ,"5,800 ",
12501125-157,GAXETA  1.1/8 X 1.3/8 X 5/32 ,"5,292 ",
12501125-187,GAXETA  1.1/8 X 1.3/8 X 3/16 ,"5,036 ",
12501125-204,GAXETA  1.1/8 X 1.3/8 X 13/64 ,"5,292 ",
12501125-250,GAXETA  1.1/8 X 1.3/8 X 1/4 ,"5,292 ",
12501187,GAXETA  1.3/16 X 1.7/16 X 1/8 ,"6,053 ",
12501250,GAXETA  1.1/4 X 1.1/2 X 1/8 ,"6,053 ",
12501250-250,GAXETA  1.1/4 X 1.1/2 X 1/4 ,"6,053 ",
12501250-312,GAXETA  1.1/4 X 1.1/2 X 5/16 ,"6,926 ",
12501312,GAXETA  1.5/16 X 1.9/16 X 1/8 ,"6,053 ",
12501375,GAXETA  1.3/8 X 1.5/8 X 1/8 ,"6,290 ",
12501375-250,GAXETA  1.3/8 X 1.5/8 X 1/4 ,"6,454 ",
12501437,GAXETA  1.7/16 X 1.11/16 X 1/8 ,"6,025 ",
12501500,GAXETA  1.1/2 X 1.3/4 X 1/8 ,"6,304 ",
12501500-250,GAXETA  1.1/2 X 1.3/4 X 1/4 ,"6,955 ",
12501750,GAXETA  1.3/4 X 2 X 1/8 ,"6,873 ",
12501750-185,GAXETA 1 3/4 X 2 X 3/16 ,"10,287 ",
1319,"GAXETA  AG 2  38,00 X 56,00 X 12,50  PU AMARELO ","25,206 ",
1320,"GAXETA  AG 2  47,00 X 72,00 X 15,50 ","55,453 ",
Linha:,GAXETA E RASPADOR
Código,Descrição UN,Preço Unitário R$% IPI,
1321,"GAXETA  AG 4  63,50 X 76,20 X 10,00 ","22,739 ",
1323,"GAXETA  AG 4  38,00 X 48,00 X 7,00 ","9,577 ",
1324,"GAXETA  AG 4  50,80 X 63,50 X 10,00 ","18,808 ",
1325,"GAXETA  AG 4  57,15 X 69,85 X 10,00 ","20,771 ",
1428,"GAX. AG 8  71,00 X91,00X12,30 C/ARR.ANTI-EXTRUSAO","20,918 ",
1430,"GAX. AG 8  39,00X62,00X13,00 C/ARR. ANTI-EXTRUSAO","19,833 ",
1431,"GAX. AG 8  22,22 X 34,92X9,50 C/ARR.ANTI-EXTRUSAO","10,168 ",
1442,"RASPADOR TIPO D  50,80 X 63,50 X 6,35 ","8,064 ",
1519,"GAXETA  AG 9  127,00 X 133,35 X 4,76 ","25,206 ",
1591,"RASPADOR TIPO D  77,00 X 91,00 X 4,00 ","12,089 ",
1592,"RASPADOR TIPO D  64,00 X 78,00 X 4,00 ","11,597 ",
1605,"RASPADOR TIPO D  60,00 X 70,00 X 7,00 ","11,095 ",
1620B,"GAXETA  AG 7  177,80 X 203,20 X 12,70 ","126,032 ",
1628,"GAXETA  AG 6  185,00 X 207,00 X 15,00 ","80,656 ",
